Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide","b'@tsnscottcullen Ah damn. So sorry, Scott.'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 19:07:40 +0000 2018,24945,12864,0,2
"Lowetide , Lowetide","b'RT @PuckPedia: @JasonGregor Nurse will be RFA after deal w/ 2 years to UFA.  Oilers now have $780K of Cap Space w/ full 23-man roster, whic\\u2026'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 18:47:47 +0000 2018,24945,12864,2,0
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Hour 1 of The Lowdown w/ @Lowetide Podcast is up!\\n\\n(13:16) - @mirtle previews the #MapleLeafs\\n\\n(27:57) - @DTonSC on the\\u2026',no external urls in this tweet,['MapleLeafs'],Mon Sep 17 17:12:14 +0000 2018,24945,12864,5,0
"Lowetide , Lowetide",b'RT @TheAthleticEDM: Edmonton continues its efforts to recover from the mistakes of 2015. From @Lowetide: https://t.co/IQThmgx3bQ',https://theathletic.com/526874/2018/09/16/oilers-continue-efforts-to-replace-lost-draft-summer-of-2015/,no hashtags in this tweet,Mon Sep 17 17:00:10 +0000 2018,24945,12864,2,0
"Lowetide , Lowetide",b'RT @mikemorrealeNHL: Really looking forward to watching how 18yo Ty Smith @spokanechiefs performs tonight w/ Sami Vatanen as his partner He\\u2026',no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 16:57:49 +0000 2018,24945,12864,7,0
"Lowetide , Lowetide","b""RT @TSNHockey: Welcome to the Jack Hughes Draft.\\n\\nCheck out Hockey Insider Bob McKenzie's Top 20 as he reveals his pre-season draft ranking\\u2026""",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 16:46:51 +0000 2018,24945,12864,15,0
"Lowetide , Lowetide","b""If you'd like to spend next Monday night with @TheAthleticEDM staff and celebrate the first year in Edmonton with\\u2026 https://t.co/0Vlu3Sk1Si""",https://twitter.com/i/web/status/1041727927359033344,no hashtags in this tweet,Mon Sep 17 16:37:46 +0000 2018,24945,12864,2,2
"Lowetide , Lowetide","b'RT @Lieutenant_Eric: 3 years ago today, 7X NBA Champion Robert Horry picked my up by my head! https://t.co/pcJiV96lF3'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 14:47:23 +0000 2018,24945,12864,2,0
"Lowetide , Lowetide","b'RT @kaitlyncmcgrath: From this weekend, with a h/t to Charles Dickens, I wrote about how the past, present and future of Canadian tennis wa\\u2026'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 14:46:45 +0000 2018,24945,12864,1,0
"Lowetide , Lowetide","b""It's here! OH MY GOD we have the hockey! Complete preview of Oilers v. Flames, plus an old timey Jari Kurri story a\\u2026 https://t.co/qw0I82vrf3""",https://twitter.com/i/web/status/1041696291284086784,no hashtags in this tweet,Mon Sep 17 14:32:04 +0000 2018,24945,12864,4,25
"Lowetide , Lowetide","b'No matter what else happens today, that little girl being found safe is the very best. I cannot imagine the absolut\\u2026 https://t.co/JRX8bLmQUx'",https://twitter.com/i/web/status/1041678872033427456,no hashtags in this tweet,Mon Sep 17 13:22:51 +0000 2018,24945,12864,45,554
"Lowetide , Lowetide",b'RT @CTVDarrell: BREAKING: Saskatchewan RCMP say the young girl at the center of an amber alert has been found safe within the city of North\\u2026',no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 13:18:33 +0000 2018,24945,12864,81,0
"Lowetide , Lowetide","b'RT @TSNBobMcKenzie: Check out @TSNHockey Pre-Season Top 20 Rankings for the 2019 NHL draft, 30 minute show begins at 11:30 a.m. ET on TSN5.\\u2026'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 13:06:02 +0000 2018,24945,12864,28,0
