Twitter Handle & User Name,Tweet, external URL,Hashtags,Filter Words,Date of Tweet,Followers,Following,RT,FAV
"OilersNation , OilersNation.com",b'We are three minutes into this game and the score is still 0-0. #PositiveTuesday -CTI',no external urls in this tweet,['PositiveTuesday'],"['oiler', 'game', 'win']",Wed Nov 14 02:13:27 +0000 2018,47384,1398,1,10
"OilersNation , OilersNation.com","b""RT @OilersNation: Edmonton hosts Montreal tonight and @TheNationChris &amp; @cooom are back to try read @JasonGregor's game day notes in under\\u2026""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 14 01:04:03 +0000 2018,47384,1398,4,0
"OilersNation , OilersNation.com","b""Edmonton hosts Montreal tonight and @TheNationChris &amp; @cooom are back to try read @JasonGregor's game day notes in\\u2026 https://t.co/mSwDPkA4EB""",https://twitter.com/i/web/status/1062468038904049665,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 13 22:11:34 +0000 2018,47384,1398,4,6
"OilersNation , OilersNation.com","b""The @SnowValleySki lifts are prepped to start running at 5pm this Thursday and it's not a game day. Your evening pl\\u2026 https://t.co/6oykINHaiF""",https://twitter.com/i/web/status/1062463673728466950,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 13 21:54:14 +0000 2018,47384,1398,0,2
"OilersNation , OilersNation.com",b'Fresh Oil: Inside the Nation: \\u201cI would look at Ryan Strome back on the wing\\u201d https://t.co/gjUKtLaJd0',https://oilersnation.com/2018/11/12/inside-the-nation-i-would-look-at-ryan-strome-back-on-the-wing/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 22:10:03 +0000 2018,47384,1398,0,7
"OilersNation , OilersNation.com",b'RT @TheNationDan: 8-8-1 after a loss to the Avs. \\n\\nOne game below .500 so I run 1KM. and they\\u2019re not above .500 so I\\u2019m in shorts.\\n\\nI know t\\u2026',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 05:28:15 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com",b'The game is over. Thanks for sticking around. \\n\\nGoals were:\\n4 Colorado\\n0 Oil\\n\\nShots were:\\n28 Colorado\\n28 Oil\\n\\nThis\\u2026 https://t.co/FCXptM9ZCI',https://twitter.com/i/web/status/1061844500123774976,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 04:53:51 +0000 2018,47384,1398,0,8
"OilersNation , OilersNation.com",b'Koskinen keeps the hope of a comeback alive. \\n\\nJust have to win every 33 seconds now. \\n-ND https://t.co/EZmFiOAMzN',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 04:50:59 +0000 2018,47384,1398,0,10
"OilersNation , OilersNation.com",b'The Nuge once again gets hoisted by Landeskog. This time an usher opened the door and a gust of wind came in and kn\\u2026 https://t.co/shEL0onFlA',https://twitter.com/i/web/status/1061843304893960193,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 04:49:06 +0000 2018,47384,1398,1,7
"OilersNation , OilersNation.com",b'It worked last game. So. @SemyVarlamov \\n\\n#SHUTOUT SHUTOUT #SHUTOUT SHUTOUT #SHUTOUT SHUTOUT #SHUTOUT SHUTOUT\\u2026 https://t.co/cQsw3szwVG',https://twitter.com/i/web/status/1061826958592372736,"['SHUTOUT', 'SHUTOUT', 'SHUTOUT', 'SHUTOUT']","['oiler', 'game', 'win']",Mon Nov 12 03:44:09 +0000 2018,47384,1398,1,10
"OilersNation , OilersNation.com",b'Landeskog said in the intermission that they have been spotting the other teams too many leads in their 5 game losi\\u2026 https://t.co/HCVEfuBBzK',https://twitter.com/i/web/status/1061825221500395521,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 03:37:15 +0000 2018,47384,1398,1,19
"OilersNation , OilersNation.com",b'For your first intermission entertainment: \\n\\nWhy don\\u2019t we check in on the glowing yelp review Iiro Pakarinen gave t\\u2026 https://t.co/avhG1Ii62K',https://twitter.com/i/web/status/1061819674780811265,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 03:15:12 +0000 2018,47384,1398,1,16
"OilersNation , OilersNation.com",b'20 minutes into the game. \\n\\nGoals are:\\n2 Colorado\\n0 Oil\\n\\nShots are:\\n12 Colorado\\n9 Oil\\n\\nThe message from coach Natio\\u2026 https://t.co/KbkYsaSsJ9',https://twitter.com/i/web/status/1061819197636829185,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 03:13:19 +0000 2018,47384,1398,2,14
"OilersNation , OilersNation.com",b'Puck through three guys. \\n\\nThe Oilers go with the spot them 2 goals strategy for the fourth game in a row. \\n\\n2-0 Av\\u2026 https://t.co/eZPsq88q5P',https://twitter.com/i/web/status/1061817567843573762,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 03:06:50 +0000 2018,47384,1398,0,20
"OilersNation , OilersNation.com","b'Kassian JUST about bangs one home. \\n\\n*kicks dirt in air, wind blows back in face*\\n\\n-ND'",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 12 02:45:21 +0000 2018,47384,1398,0,18
"OilersNation , OilersNation.com","b'RT @LonnbergMari: @OilersNation ""...but never about anything personal or things related to your own game..."" \\n\\nIiro was actually saying, th\\u2026'",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Sun Nov 11 21:27:02 +0000 2018,47384,1398,1,0
"OilersNation , OilersNation.com","b'Oh captain, my captain. \\U0001f64f | \\U0001f3a5 by @_cheledits_ #oilers #nhl https://t.co/2hJQPc0Ke6'",no external urls in this tweet,"['oilers', 'nhl']","['oiler', 'game', 'win']",Sun Nov 11 19:16:46 +0000 2018,47384,1398,5,29
"OilersNation , OilersNation.com","b'RT @cooom: The Oilers had to play eight games in 13 days in seven different cities, but how about the Avs? They had to bus to Winnipeg and\\u2026'",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Sat Nov 10 23:15:13 +0000 2018,47384,1398,19,0
"OilersNation , OilersNation.com",b'RT @NationGear: Soon... @officialoilersnation #blackfriday https://t.co/uk2VaQ4GmG https://t.co/A078GsRnUP',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Sat Nov 10 01:28:51 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com",b'The Panthers haven\\u2019t won a game at home yet this season? This all makes sense. \\n\\nThe Oilers lose 4-1. Their first l\\u2026 https://t.co/d8liG2WHiO',https://twitter.com/i/web/status/1060725198331162625,no hashtags in this tweet,"['oiler', 'game', 'win']",Fri Nov 09 02:46:09 +0000 2018,47384,1398,5,20
"OilersNation , OilersNation.com",b'RT @derrickgermain: \\u2066@OilersNation\\u2069 even the dog wants a win! #gooilers #oilersoctane https://t.co/TC9oqkngnD',no external urls in this tweet,"['gooilers', 'oilersoctane']","['oiler', 'game', 'win']",Fri Nov 09 00:27:49 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com","b""RT @tyleryaremchuk: Are the Oilers in a position where they should go 'all in'?\\n\\nSome pre-game reading for ya on @OilersNation \\n\\nhttps://t.\\u2026""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Thu Nov 08 23:04:45 +0000 2018,47384,1398,3,0
"OilersNation , OilersNation.com",b'RT @nielsonTSN1260: Coming up one hour from right now. Lots to discuss on a game day! https://t.co/xp04vcuuwq',https://twitter.com/OilersNation/status/1060628938697949190,no hashtags in this tweet,"['oiler', 'game', 'win']",Thu Nov 08 20:47:53 +0000 2018,47384,1398,1,0
"OilersNation , OilersNation.com",b'RT @JasonGregor: The Oilers have never won 10 consecutive road games v. one team. They go for 10 tonight in Florida. https://t.co/BLxefFAT2s',https://oilersnation.com/2018/11/08/gdb-16-0-keep-the-streak-alive-5pm-mt-snw/,no hashtags in this tweet,"['oiler', 'game', 'win']",Thu Nov 08 20:16:16 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com","b'RT @NationRealLife: This week, we talked the McBoys acting together! Listen in at https://t.co/cYvLR0jo9x #oilers #nhl https://t.co/lypTNul\\u2026'",https://soundcloud.com/reallifepodcast/were-getting-to-it?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter,"['oilers', 'nhl']","['oiler', 'game', 'win']",Wed Nov 07 20:00:23 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com",b'RT @mickduster: A Love of Hockey Helps Healing https://t.co/hpmXe9aKqI via @oilersnation',https://oilersnation.com/2018/11/07/a-love-of-hockey-helps-healing/,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 07 20:00:11 +0000 2018,47384,1398,6,0
"OilersNation , OilersNation.com","b'Fresh Oil: Lightning 5, Oilers 2 post-game Oil Spills: Burnt out https://t.co/hWT3BgBCFu'",https://oilersnation.com/2018/11/07/lightning-5-oilers-2-post-game-oil-spills-burnt-out/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 07 17:58:04 +0000 2018,47384,1398,1,0
"OilersNation , OilersNation.com",b'Tough road trip happening here. #oilers https://t.co/98cCyvu9bK',no external urls in this tweet,['oilers'],"['oiler', 'game', 'win']",Wed Nov 07 04:32:58 +0000 2018,47384,1398,3,37
"OilersNation , OilersNation.com","b""LEON ON THE POWER PLAY! Great puck movemet on that goal and it's a 4-2 game. -bm https://t.co/OCZZQsDPKK""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 07 02:42:04 +0000 2018,47384,1398,1,35
"OilersNation , OilersNation.com","b""RYAN STROME YOU DID IT! 2-1 and they're back in the game. -bm https://t.co/yLcTwtoOfN""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 07 02:06:21 +0000 2018,47384,1398,3,63
"OilersNation , OilersNation.com",b'The Strome line has been getting some chances in the last few games. Maybe the rain comes tonight? Maybe. -bm',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Wed Nov 07 01:07:18 +0000 2018,47384,1398,0,11
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: It\\u2019s a back-to-back edition of #FranksPicks and he\\u2019s back to decide the winner of tonight\\u2019s matchup between the Oilers\\u2026',no external urls in this tweet,['FranksPicks'],"['oiler', 'game', 'win']",Tue Nov 06 23:38:33 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com",b'You have 60 minutes until puck drop and @jsbmbaggedmilk has your game day preview: https://t.co/2naq7cavWa #Oilers #NHL',https://oilersnation.com/2018/11/06/gdb-15-0-little-bit-of-thunder-little-bit-of-lightning-5pm-mt-snw,"['Oilers', 'NHL']","['oiler', 'game', 'win']",Tue Nov 06 23:00:19 +0000 2018,47384,1398,0,2
"OilersNation , OilersNation.com","b'Fresh Oil: Capitals 4, Oilers 2 post-game Oil Spills: Ugly start buries Edmonton\\u2019s chance to sweep season series https://t.co/6ZZt1CGs3l'",https://oilersnation.com/2018/11/06/capitals-4-oilers-2-post-game-oil-spills-ugly-start-buries-edmontons-chance-to-sweep-season-series/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 19:14:04 +0000 2018,47384,1398,0,0
"OilersNation , OilersNation.com",b'ICYMI: Evan Bouchard scored in his first game back with the London Knights over the weekend and @TheNationDan  has\\u2026 https://t.co/UuoU5LYxx5',https://twitter.com/i/web/status/1059823012659294209,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 15:01:11 +0000 2018,47384,1398,0,4
"OilersNation , OilersNation.com",b'ICYMI: Evan Bouchard scored in his first game back with the London Knights over the weekend and @TheNationDan has t\\u2026 https://t.co/gDnV9FwLT8',https://twitter.com/i/web/status/1059664221363994624,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 04:30:12 +0000 2018,47384,1398,1,1
"OilersNation , OilersNation.com","b""RT @NationRealLife: New Podcast episode! We're Getting To It https://t.co/CUx6Pk102g #oilers #yeg""",https://ift.tt/2QnTv9e,"['oilers', 'yeg']","['oiler', 'game', 'win']",Tue Nov 06 03:59:56 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com",b'You can\\u2019t win them all? #oilers https://t.co/WRHjCQx3oO',no external urls in this tweet,['oilers'],"['oiler', 'game', 'win']",Tue Nov 06 03:42:39 +0000 2018,47384,1398,8,51
